|_unit_id|_created_at|_golden|_id|_missed|_started_at|_tainted|_channel|_trust|_worker_id|_country|_region|_city|_ip|word_or_shortphrase|instruction|tweet|tweet_no|tweet_no_rt|type_of_message|type_of_messageconfidence|word_or_shortphrase_gold
36|240632767|1/2/2013 15:03:12|True|797143533||1/2/2013 15:01:30|False|amt|1.0|5112203|USA|MD|Baltimore|72.81.233.17|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
37|240632767|1/2/2013 15:13:12|True|797148612|False|1/2/2013 15:11:30|False|instagc|1.0|12960437|USA|WV|Point Pleasant|173.81.178.140|Full details on which NYC transit is restored|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
38|240632767|1/2/2013 15:17:00|True|797150443||1/2/2013 15:11:33|False|instagc|0.75|14475081|USA|TN|Dunlap|98.143.6.78|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
39|240632767|1/2/2013 15:18:37|True|797151356||1/2/2013 15:15:59|False|instagc|0.875|14893322|USA|VA|Lynchburg|96.235.212.161|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
40|240632767|1/2/2013 15:23:43|True|797153414||1/2/2013 15:21:48|False|instagc|1.0|13975029|USA|SC|Swansea|204.116.173.21|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
41|240632767|1/2/2013 15:28:40|True|797155948||1/2/2013 15:25:57|False|instagc|1.0|15124146|USA|CT|Norwalk|24.189.161.45|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
42|240632767|1/2/2013 15:34:09|True|797158597||1/2/2013 15:31:15|False|instagc|1.0|14296101|USA|MN|Buffalo|216.105.230.23|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
43|240632767|1/2/2013 15:44:36|True|797164443||1/2/2013 15:42:37|False|golddiggergpt|0.9286|15038871|USA|FL|Port Richey|68.200.93.250|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
44|240632767|1/2/2013 16:11:13|True|797178196||1/2/2013 16:08:31|False|instagc|1.0|13787089|USA|NY|Cortland|67.249.98.252|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
45|240632767|1/2/2013 16:14:11|True|797180010||1/2/2013 16:11:35|False|instagc|1.0|14853026|USA|PA|Mifflinville|72.79.132.143|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
46|240632767|1/2/2013 16:27:06|True|797188142||1/2/2013 16:21:52|False|instagc|1.0|15121139|USA|IN|South Bend|70.224.42.226|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
47|240632767|1/2/2013 18:08:47|True|797263976||1/2/2013 18:05:29|False|instagc|0.8571|13905521|USA|GA|Statesboro|209.221.52.48|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
48|240632767|1/2/2013 18:12:28|True|797266609||1/2/2013 18:10:24|False|instagc|0.9167|13441146|USA|GA|Cleveland|98.18.123.70|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
49|240632767|1/2/2013 18:15:38|True|797269073|False|1/2/2013 18:11:38|False|instagc|1.0|12962344|USA|WI|Elm Grove|70.92.128.53|NYC transit is restored|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
50|240632767|1/2/2013 18:15:46|True|797269164||1/2/2013 18:14:27|False|amt|0.9|9184711|USA|CA|Simi Valley|75.84.166.54|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
51|240632767|1/3/2013 07:50:58|True|797955948||1/3/2013 07:43:06|False|instagc|0.9167|13844835|USA|TX|Texarkana|98.20.4.114|NYC transit|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|4025|Full details on which NYC transit is restored and which continues to be suspended via @mattfleg http://t.co/3A7jh9wp|Informative: damage (building, road, lines, etc.)|1.0|"NYC transit
transit
Full details on which NYC transit is restored
NYC transit
NYC transit is restored"
