|sentence|appeal-code
262|160 houses were flooded and about 4,800 ha of agricultural land was flooded.|MDRAL007
263|According to official figures provided by the government, 1,575 persons were evacuated and were accommodated at sports facilities/halls, school dormitories or at their relatives’.|MDRAL007
264|3,500 houses were flooded, 65 bridges collapsed, and 56 public schools were damaged, while 15,000 hectares of land was brought under water.|MDRAL007
265|In some areas, the water was not suitable for drinking; and electricity supplies were also cut off in some of the affected areas.|MDRAL007
266|According to the information provided by the 22 Albanian Red Cross (ARC) branches which were operating in the flooded areas, approximately 4,700 families (or approximately 21,000 people) were affected by the floods in total.|MDRAL007
267|According to the initial assessment, about 2,000 families were identified as worst-affected.|MDRAL007
268|As more information became available, and ARC secured better access, 3,150 families were recorded to have incurred considerable losses.|MDRAL007
269|The affected families had lost their winter food reserves and partly their livestock, home furniture and domestic electrical devices.|MDRAL007
270|Daily information received by the ARC branches showed that there was no need for Restoring Family Links (RFL) services as the evacuated families were accommodated at their relatives’ and at school facilities, and the communication network was also well functioning.|MDRAL007
316|On 24 June 2016, as a result of heavy hailstorm and rains, an unprecedented landslide seriously damaged Karchaghbyur village of Gegharqunik region and Artik city of Shirak region with homes, public buildings, streets and bridges as well as agricultural lands were seriously affected.|MDRAM003
317|Karchakhbyur village is located 30 km away from the border with Azerbaijan in a remote and isolated area of Gegharqunik region, which is one of the poorest regions in Armenia.|MDRAM003
318|The total population of the village is 2,518 people with 752 households.|MDRAM003
319|People in the village are mainly involved in potato growing and cattle breeding.|MDRAM003
320|The streets are in a poor condition, which causes problems for any type of activity within the village.|MDRAM003
321|According to the information provided by the local authorities, there were around 140 affected households in this village where mainly homes and agricultural lands (arable lands, hayfields, pastures, and sawn areas) and livestock were seriously affected.|MDRAM003
322|Moreover, the ground floor of the village school was also flooded and needed significant repairs.|MDRAM003
323|Artik city is located in Shirak region which is also one of the poor regions in Armenia.|MDRAM003
324|There are quarries around the city, and many of them have been operating since the Soviet times.|MDRAM003
325|On 24 June, as a result of hailstorm and heavy rains, the water from the hills flooded the city bringing down stones from a canyon to the residential area.|MDRAM003
326|The flow was so high that the walls of the sewage canals broke and the water spilled into different directions covering many parts of the city.|MDRAM003
327|Moreover, as a result of lightening, the electricity was cut off causing difficulties to response activities.|MDRAM003
328|Approximately 12,000 m3 of stone appeared in the yards and streets of the city as well as inside of the houses making cleaning impossible without special machinery involvement.|MDRAM003
329|This also resulted in a cut-off of water supply.|MDRAM003
330|Gas supply was immediately shut down by the relevant service provider to avoid secondary disasters.|MDRAM003
350|On 17 and 18 August 2018, a hailstorm damaged almost all yield capacity in Shirak region of Armenia.|MDRAM004
351|According to the rapid assessment conducted jointly by the Armenian Red Cross Society (ARCS) and Shirak regional authorities, 2,202 households (approximately 9,900 people) in 11 communities were affected, out of which 1,143 households from the three most affected communities lost from 80 to 100 per cent of their yield capacity – including potatoes, vegetables, flax, cumin, lentils, peas, cucumber, etc.|MDRAM004
352|Moreover, there were also sporadic cases of damaged houses and cattle farm roofs reported, but not on a large scale.|MDRAM004
404|Heavy rains affected the Argentine regions of Centro, Cuyo and the north-western areas of the country since late February 2015, causing flooding in several municipalities in the provinces of Córdoba, Santa Fe, San Luis Catamarca, Santiago del Estero and Tucumán.|MDRAR008
405|According to the National Weather Service (SMN), there were higher values of accumulated and anomalous precipitation in the month of February.|MDRAR008
406|Anomalous precipitation is understood as the difference between the precipitation accumulated over one month and normal values according to the 1961-1990 period.|MDRAR008
407|The highest accumulated rainfall values, exceeding 300 millimetres, were registered in central-northern Córdoba and central-northern San Luis.|MDRAR008
408|The greatest levels of anomalous precipitation in the country's central region primarily fell in the provinces of Córdoba and San Luis.|MDRAR008
409|Rainfall values were also above normal in the provinces of Mendoza, Santa Fe and in south-western Buenos Aires.|MDRAR008
410|Province of Córdoba|MDRAR008
411|The unusually intense rainfall since February mainly affected places in Sierras Chicas and the city of Córdoba.|MDRAR008
412|According to the Emergency Committee of the Córdoba province, 10 people died, one was reporting missing and 1,200 people were evacuated and injured.|MDRAR008
413|Additionally, serious damage to roads, bridges and homes was reported in several locations in Sierras Chicas.|MDRAR008
414|Reports indicated the water fully covering the asphalt in some locations, towns isolated and the areas without electricity and water services.|MDRAR008
415|Flooding also affected crop areas and killed livestock.|MDRAR008
416|The provincial government activated its crisis committee led by the governor; authorities reported that these floods had been the most severe of the past 50 years.|MDRAR008
417|On 5 March 2015 the municipality of Córdoba declared a Climate Emergency and State of Alert in the city of Córdoba due to the rainfall and strong winds.|MDRAR008
418|Province of Catamarca Overflowing rivers devastated areas in western Catamarca, causing flooding in the towns of Andalgalá, Aconquija, Belén, Pomán and Tinogast, leaving them completely isolated.|MDRAR008
419|In addition, overflow from the El Calabozo River swept away several cars and flooded surrounding areas, bringing down several high voltage poles which left the area without electricity service and isolated.|MDRAR008
420|Continuous rainfall in Catamarca flooded 20 homes in the central valley, as well as in the Department of Valle Viejo.|MDRAR008
421|The Provincial Ministry of Social Development reported that the most critical situations south of the capital in the neighbourhoods of Montecristo, Cristo Rey, Los Medanos and Villa Eumelia.|MDRAR008
422|On 6 March, an environmental and social emergency was declared for Santa Rosa.|MDRAR008
423|Santa Fe 500 millimetres of rain fell on the province in March alone, which is practically half the normal amount of rainfall that falls in an entire year.|MDRAR008
424|A total de 17 communities and municipalities faced difficulties due to the water-related emergency.|MDRAR008
425|There were 1,142 evacuees in the province, most of whom were from Santa Fe (525 people) and in Recreo (around 400 people).|MDRAR008
426|Electricity and water services were suspended, mostly affecting the capital city, Las Colonias, Castellanos, a small area in San Jerónimo and San Martin.|MDRAR008
427|Communication over the direct road connecting Santa Fe and Rosario was interrupted, as well as the Highway and National Route 11 at Coronda due to the precarious state of one of the bridges.|MDRAR008
428|Authorities decided to set up a prefabricated bridge.|MDRAR008
429|Authorities in the city of Santa Fe partially lifted travel restrictions, so educational, commercial and banking activities, as well as public transportation, gradually resumed, except in neighbourhoods located in the Northern District, where work was being done to drain flooded streets and homes.|MDRAR008
430|Santiago de Estero|MDRAR008
431|Twenty days of rain in the province of Santiago del Estero affected neighbourhoods in southern areas of the city of Santiago del Estero due to flooding from the Dulce River, especially lower lying neighbourhoods such La Católica and Reconquista.|MDRAR008
432|A total of 100 people had to be evacuated from this area, while 170 others remained evacuated from the police academy.|MDRAR008
433|The province registered 3,200 evacuees and two dead; nearly 500 thousand hectares were flooded, with total loss of soybean and corn production, according to producers’ own estimates.|MDRAR008
434|School and public administration activities were suspended.|MDRAR008
435|Other areas seriously affected by the rains included Bandera, Los Juríes, and the departments of Taboada, Aguirre, Mitre and Belgrano (all in the south, some bordering Santa Fe); to the west, some towns or cities, such as Lavalle, Guampacha and San Pedro, faced serious complications; and the rains that fell on 6 March submerged entire neighbourhoods in southern and western areas of the capital of Santiago del Estero: América del Sur, Islas Malvinas, Las Flores and Ejercito Argentino.|MDRAR008
436|The Provincial Emergency Committee of Santiago de Estero was formed and the province was declared under climate and agricultural emergency on 4 March.|MDRAR008
437|San Luis Heavy rains and storms caused flooding, and rising rivers affected the towns of Concarán, Luján, Quines and Leandro Alem.|MDRAR008
438|A total of 2,000 people were evacuated (approximately 400 families) and an older adult died dead due to the collapse of her home.|MDRAR008
439|It is estimated that strong water currents destroyed more than 100 dwellings, ruined streets, demolished bridges and left large fissures and holes in the roads.|MDRAR008
440|Furthermore, rising rivers and overflowing dikes caused flooding and flooded streets, and destroyed and damaged housing; electricity and water services were suspended.|MDRAR008
441|Tucumán|MDRAR008
442|The storm on 6 March caused the north and south canals to overflow, flooding several neighbourhoods in the capital city: Yerba Buena, Las Talitas, San José and Barrio ATEP, among others.|MDRAR008
443|In the interior of the province in Lamadrid, some areas were left isolated (approximately 400 people); others suffered flooding from the rising Marapa River, which overflowed due to the opening of the Escaba dike.|MDRAR008
444|The Muerto river, which descends from Cerro San Javier, flooded and eroded the foundations of dwellings along its banks.|MDRAR008
445|The towns of Rio Nio and Villa Padre Monti were left isolated due to the collapse of the bridge at Sunchal.|MDRAR008
446|There were also serious problems in Villa Chicligasta, Piedra Grande, Atahona, Ciudacita, Monteagudo, Río Chico and Nueva Trinidad due to the Medinas River, all in the province's southwest near the Catamarca border; Rodeo, La Cañada, Cruz de Arriba and Cruz de Abajo, La Ramada, Los Puestitos, Aguilares, Alberdi, Concepción and Tafi Viejo suffered major flooding.|MDRAR008
447|Roads were damaged by fissures in the pavement caused by intense water flow: Routes 336, 337, 310 and 316.|MDRAR008
448|Up to 10 March, 9 bridges across the province had collapsed.|MDRAR008
449|Other places, such as Alpachiri, El Molino, Santa Ana and Concepción, were affected; rivers overflowed their banks and opened and formed lagoons, making it necessary to evacuate more than 700 people; and electricity and water services were suspended.|MDRAR008
450|Civil Defence of the province of Tucumán engaged in preventive evacuation of the area due to the river surpassing emergency levels.|MDRAR008
451|A total of 3,000 people were evacuated to schools and sports facilities, and one death was reported.|MDRAR008
452|On 9 March, province authorities declared a water-related, social and community emergency to respond to the emergency.|MDRAR008
484|On 4 August 2015 ARC headquarters began monitoring the situation caused by intense storms in much of central and north-eastern Argentina.|MDRAR009
485|On 5 August the National Emergency and Disaster Response Directorate started monitoring the situation caused by rains and intense storms in Buenos Aires.|MDRAR009
486|This monitoring continued through the end of August.|MDRAR009
487|On 10 August heavy rains caused the overflow of rivers, streams, and watersheds, leading to floods in the municipalities of Luján, San Antonio de Areco, Campana, Salto, Chacabuco, Chivilcoy, Pilar, Mar del Plata, Quilmes, La Plata, Berisso, Zárate, Mercedes, San Andrés, Santos Lugares, Pergamino, Junín, Pila, Arrecifes, and Venado Tuerto.|MDRAR009
488|On August 15, flooding from the Salado River affected nearby towns such as Villanueva, Lezama, and Dolores, among others, forcing the evacuation of 6,184 people and the self-evacuation of 5,500 others.|MDRAR009
489|According to Buenos Aires Civil Defence, this emergency affected more than 50,000 people in the province of Buenos Aires.|MDRAR009
490|Evacuees were housed in shelters set up in schools, universities, and health centres.|MDRAR009
491|These emergency shelters were managed by municipalities, which provided a place to sleep, food, restrooms, water sources, and security.|MDRAR009
492|The Argentine Red Cross supported this process in Lujan.|MDRAR009
493|Campana, Pilar, and Lujan were the most affected locations, with flash floods in Lujan lasting for more than 10 days.|MDRAR009
494|Other municipalities received greater assistance, although not always with the coordination required.|MDRAR009
495|On 5 and 6 August, heavy rains fell on Luján which caused Luján River levels to rise but causing no damage.|MDRAR009
496|Up until that moment the situation remained under control; however, river levels were already one metre above normal when another intense storm hit on 9 August, triggering the alert.|MDRAR009
497|A red alert was issued on 10 August as floods began to occur in several locations, causing damage to livelihoods (work tools of self-employed masons, painters, etc.), homes, health, and water conditions.|MDRAR009
498|Three evacuation centres were opened in Luján housing more than 600 families for 10 days as well as three health care posts in different districts.|MDRAR009
499|The ARC assisted in coordinating one of them (for 60 people) and in two others (180 people) conducted recreational and psychosocial support (PSS) actions.|MDRAR009
500|Shelters were set up in most of the affected areas to house the people whose homes had become uninhabitable.|MDRAR009
501|Weather conditions improved considerably after 14 August, and people started making arrangements to return to their homes as water levels started to gradually recede.|MDRAR009
502|Currently all affected people in Luján, Salto, Pilar, and Mercedes have returned home, but authorities and communities remain on alert to reports of the El Niño phenomenon.|MDRAR009
503|On 23 August the national media reported that the district of General Viamonte in northern Buenos Aires was being flooded by the overflow from the Salado River, affecting some 160,000 hectares of land.|MDRAR009
504|The ARC began response in Villanueva with PSS and first aid assistance for more than 50 families (approximately 1,300 persons) who had remained cut off after the river had increased in width by more than 9 kilometres.|MDRAR009
505|This response operation ended on 2 September.|MDRAR009
506|At the time of the drafting of this report, the emergency is over and communities have resumed their normal activities.|MDRAR009
507|The Argentine Red Cross continues conducting everyday activities in the communities in which it normally works.|MDRAR009
530|On 25 and 26 December 2016, intense rainfall accompanied by hail and strong electrical activity affected more than 20 locations in the provinces of Buenos Aires, Córdoba and Santa Fe; since the rainfall mainly affected low-lying areas (only 55 metres above sea level), the soil was saturated, and there were pre-existing crevices in the river basins (the most important in Argentina) from constant rainfall throughout the year, significant flooding and overflows of rivers and streams occurred.|MDRAR011
531|Pergamino, a city in northern Buenos Aires Province (65 meters above sea level), was one of the most affected municipalities by the rain, receiving some 220 millimetres1 of rainfall in four hours, which caused the Pergamino Stream, its tributaries and effluents, such as Chu Chu Creek, to overflow; this led to flooding across the city, which is organized into 24 urban and peri-urban neighbourhoods, mainly in riverside neighbourhoods (the river that flooded cuts across the city) such as 9 de Julio, Cueto, Centenario, Tocha, San Vicente, Kennedy, Centro, 27 de Noviembre, Belgrano, Martín M. de Güemes and José Hernández (the latter three were considered informal settlements2); and Jorge Newbery (also an informal settlement) along Chu Chu Creek.|MDRAR011
532|The flood affected more than 13,000 people, i.e. around 11 per cent of the city’s total population.|MDRAR011
533|In addition to the more than 3,400 homes that were flooded (by between 30 and 220 cm of water), the flooding affected basic electrical power, potable water, sewage network and other services.|MDRAR011
534|A large response operation was organized by various organizations, including the Argentine Red Cross (ARC).|MDRAR011
535|Volunteer Firefighters, Municipal and Buenos Aires Province Civil Defence and Province Ministries were deployed to cover initial humanitarian demands, especially evacuation and first aid and later for the affected families’ return home and reconstruction efforts.|MDRAR011
536|By the end of the operation, the affected homes were no longer flooded, and the people who had been evacuated to the collective centres and those who had self-evacuated to relatives' homes had returned home.|MDRAR011
537|The IFRC, on behalf of the Argentine Red Cross would like to extend thanks to the all donors and implementing partners, for their generous contributions to the replenishment of this DREF.|MDRAR011
538|The major donors and partners of the DREF include the Australian, American and Belgian governments, the Austrian Red Cross, the Canadian Red Cross and government, the Danish Red Cross and government, the European Commission Humanitarian Aid and Civil Protection (ECHO), the Irish and the Italian governments, the Japanese Red Cross Society, the Luxembourg government, the Monaco Red Cross and government, the Netherlands Red Cross and government, the Norwegian Red Cross and government, the Spanish government, the Swedish Red Cross and government, the United Kingdom Department for International Development (DFID), the Medtronic and Zurich foundations, and other corporate and private donors.|MDRAR011
539|The balance of this operation (28,576 CHF) will be reimbursed to the DREF.|MDRAR011
559|Starting in early January 2017, floods, landslides and mudslides caused by heavy rainfall in different locations caused damage to several communities in the Jujuy province.|MDRAR012
560|On 10 January 2017, 90 per cent of the homes in the city of Volcán was affected by mudslides and rocks washing down from surrounding hills.|MDRAR012
561|Access routes were severely damage.|MDRAR012
562|According to the ARC assessments in the area, 2,666 people were affected, 446 people were evacuated, 667 dwellings were destroyed and 2 people died during the emergency.|MDRAR012
563|Mud accumulation was up to a metre and a half high in some areas.|MDRAR012
564|Hundreds of people were left isolated, unable to enter or leave the city for more than 24 hours.|MDRAR012
565|Tourists and communities were left unable to access basic services, health care, or return to their homes.|MDRAR012
566|More than 250 people in the communities of Tumbaya and Bárcena (located to the north and south of Volcán, respectively) were also affected.|MDRAR012
567|Homes were flooded and to a lesser extent, the mud and rocks.|MDRAR012
568|During the first week of the emergency, health services, access by land, telecommunication services and radio communications were completely disrupted.|MDRAR012
569|Local infrastructure was also damaged.|MDRAR012
570|The Jujuy provincial government declared Volcán a disaster area and declared a province-wide state of emergency.|MDRAR012
571|In Jujuy, the Ministry of Health and the Ministry of the Interior requested assistance from the Argentine Red Cross.|MDRAR012
572|Commercial activities and public and private services resumed, and affected communities have begun the rebuilding process.|MDRAR012
612|On 27 March 2017, medium to high-intensity rains and storms began to hit Argentina, leaving heavy production and material losses in their wake.|MDRAR013
613|A total of 15 provinces were affected.|MDRAR013
614|A total of 39,777 people across Argentina were affected from late March to early April 2017.|MDRAR013
615|The following provinces were among the most affected: Jujuy (south), Salta (north), Tucumán (south), Córdoba (Villa General Belgrano and the Paravachasca Valley), San Juan (Ullum, 25 de Mayo and Valle Fértil), Catamarca (Santa Rosa and Valle Viejo neighbourhood in El Portezuelo; Ambato and Los Corderos and Las Lajas neighbourhoods in Paclín), Chubut (Comodoro Rivadavia) and Buenos Aires (Mar del Plata).|MDRAR013
616|In June and July 2017, heavy rains caused various rivers to overflow, leading to flooding in the cities of Concordia and Concepción del Uruguay (Entre Ríos province) and in several cities in Corrientes province.|MDRAR013
617|Argentine Red Cross (ARC) branches launched operations to respond to these emergencies, providing assistance to more than 200 families.|MDRAR013
618|On 29 March 2017, intense rains caused flooding in several neighbourhoods in Chubut province.|MDRAR013
619|The ARC branch in Chubut suffered mud and water damage.|MDRAR013
620|Some 100 people were housed in various collective centres, which were managed by neighbourhood organizations and received supplies from the municipal and provincial governments.|MDRAR013
621|On 30 March, the governor of Chubut province declared a 120-day weather emergency.|MDRAR013
622|A new storm packing 45 to 50-kph winds hit Comodoro Rivadavia on 7 April, dumping almost 100 millimetres of rain over a period of 24 hours, killing two people and directly and indirectly affecting 100,000 others, worsening the already precarious situation.|MDRAR013
623|Tucumán was the second most affected province nationwide, as rainfall levels in its southern areas were double the normal monthly average for that time of year.|MDRAR013
624|On 30 March, Tucumán's provincial government declared a multi-issue emergency (water, social, community and agricultural) for Simoca, Graneros, Alberdi, La Cocha, La Invernada, Lamadrid and Taco Ralo.|MDRAR013
625|In Lamadrid, 80 per cent of its approximately 5,000 people suffered damages.|MDRAR013
626|Most of the population has since returned to their homes, while others temporarily left and a small minority permanently abandoned their homes.|MDRAR013
627|On 8 April, intense rainfall began to fall in the city of Mar del Plata in Buenos Aires province.|MDRAR013
628|By 10 April, 241 mm had fallen over a period of 48 hours (monthly average for the area is 70 mm), affecting a total of 23 neighbourhoods in the city of Belgrano, including the neighbourhoods of Belgrano, Autódromo and 2 de Abril.|MDRAR013
629|On 7 April, the mayor of Valle Fértil in San Juan province declared a weather emergency due to the increasing rains and their impact.|MDRAR013
630|According to Province Civil Protection, the most affected areas were Baldes de Astica, Baldes de Funes and Baldes del Sur de Chucuma, which are all in the southern Valle Fértil, affecting 50 families.|MDRAR013
631|Flooding in these communities left several families incommunicado, requiring the delivery of food via helicopter.|MDRAR013
648|In January 2018, heavy rains dropped 290 mm of cumulative rainfall in Presidencia Roque Sáenz Peña (January , the city’s rainiest month, normally receives an average of 100 mm of rain), causing flooding that isolated various sections of the city, disrupted the electrical supply and destroyed the city’s sewerage system.|MDRAR014
649|Some homes and public buildings were inundated with between 10 cm and 150 cm of water.|MDRAR014
650|The affected neighbourhoods were the following: Santa Mónica, Tiro Federal, Ginés Benítez, Monseñor de Carlo, Santa Elena, Hipólito Yrigoy en, Sáenz Peña, Milenium, San José, Piñeiro, Nala, Pablo VI and Quinta Ocho.|MDRAR014
651|On 24 January, the media began covering the emergency, and a “State of Hydric, Economic, Productive and Social Emergency” was declared.|MDRAR014
652|All the municipal and provincial government agencies responded to this emergency, and the national government, through the Secretariat of Civil Protection (which is part of the Ministry of Security), mobilized staff to the affected zone.|MDRAR014
653|During the operation, two of the collective centres had difficulties providing potable water and with solid waste management in their bathrooms.|MDRAR014
654|Due to this situation, some people suffered illnesses such as gastrointestinal pain and skin rashes.|MDRAR014
655|People who were sheltered in some of these centres had no access to sanitary services, and there were some temporary difficulties in obtaining food due to challenges in accessing the affected region.|MDRAR014
656|Additionally, the collapse of the sewage system producing stagnant water and foul odours.|MDRAR014
657|Flood water levels began to drop some weeks after the intense rains subsided, stagnant water in the streets finally drained away, homes began to dry out and basic services were restored.|MDRAR014
664|Starting on 31 January 2018, severe storms dropped more than 200mm of rain in the northern part of the Salta province in north-western Argentina, which coupled with rainfall in the upper basin of the Bermejo and Pilcomayo Rivers (Paraguay-Bolivia border) caused a rise in water levels; additionally, discharges from the already high Chimeo River in Bolivia in turn caused flooding in Salta areas along the banks of the Pilcomayo River.|MDRAR015
665|Water levels far exceeded historical levels, triggering an alert and a corresponding evacuation.|MDRAR015
666|More than 17,000 people were affected, of whom 7,000 were displaced and 100 people were left isolated and uncommunicated.|MDRAR015
667|Overflows from the Pilcomayo River flooded entire areas, especially the indigenous communities of Wichi, Chorote and Toba.|MDRAR015
668|Localities such as Santa Victoria Este were left isolated, as flooding compromised the city’s containment rings.|MDRAR015
669|Flooding also affected communities’ livelihoods such as small livestock production (mainly goats, sheep and pigs), subsistence agriculture and fishing.|MDRAR015
670|Water levels fell very slowly, making it difficult for families with flooded dwellings to return home.|MDRAR015
671|Some affected communities, especially indigenous ones had to relocate elsewhere as directed by their cacique (community leader), as is their custom; once they relocated, these communities were forced to identify other natural resources with which to resume livelihoods such as fishing, agriculture and animal husbandry.|MDRAR015
672|Several stretches of Route 54 were damaged during the initial flooding and again around mid-operation, and national Road Service personnel were responsible for repairing the damage.|MDRAR015
673|By the end of the operation, all the affected communities had returned to their places of origin, except for some Monte Carmelo and La Curvita residents who decided to resettle in a new location, and the government later installed basic services such as energy and water for these residents; some Santa María residents have chosen to resettle along stretches of Route 54.|MDRAR015
674|Both the national and provincial governments are about to undertake infrastructural projects in affected localities to prevent future flooding from the Pilcomayo River; however, despite disaster prevention and preparedness efforts, indigenous groups from the Santa Victoria Este region and northern Argentina continue to be extremely vulnerable.|MDRAR015
